timestamp,merchant_id,customer_id,amount,day_of_week,hour,is_weekend,is_holiday
2023-01-01 03:41:00,1,23,16.02,6,3,True,False
2023-01-01 06:28:00,4,25,99.56,6,6,True,False
2023-01-01 07:27:00,5,34,29.39,6,7,True,False
2023-01-01 07:47:00,5,26,139.11,6,7,True,False
2023-01-01 08:17:00,5,47,30.81,6,8,True,False
2023-01-01 09:05:00,2,5,22.89,6,9,True,False
2023-01-01 09:07:00,1,26,23.41,6,9,True,False
2023-01-01 09:34:00,4,20,8.51,6,9,True,False
2023-01-01 09:43:00,2,6,80.19,6,9,True,False
2023-01-01 10:06:00,3,6,7.88,6,10,True,False
2023-01-01 10:54:00,4,50,14.41,6,10,True,False
2023-01-01 11:04:00,4,18,6.05,6,11,True,False
2023-01-01 11:17:00,4,4,44.26,6,11,True,False
2023-01-01 11:24:00,5,17,41.51,6,11,True,False
2023-01-01 12:08:00,4,14,34.05,6,12,True,False
2023-01-01 12:44:00,1,14,16.64,6,12,True,False
2023-01-01 12:59:00,4,13,14.62,6,12,True,False
2023-01-01 13:15:00,5,7,73.44,6,13,True,False
2023-01-01 13:36:00,4,44,26.62,6,13,True,False
2023-01-01 14:43:00,3,15,62.01,6,14,True,False
2023-01-01 14:47:00,3,19,18.65,6,14,True,False
2023-01-01 14:57:00,5,43,54.16,6,14,True,False
2023-01-01 15:00:00,1,47,163.31,6,15,True,False
2023-01-01 15:23:00,1,44,79.72,6,15,True,False
2023-01-01 15:26:00,2,35,29.37,6,15,True,False
2023-01-01 15:28:00,5,17,57.37,6,15,True,False
2023-01-01 15:34:00,4,35,34.87,6,15,True,False
2023-01-01 15:40:00,5,19,44.71,6,15,True,False
2023-01-01 15:50:00,2,20,32.03,6,15,True,False
2023-01-01 16:08:00,5,36,37.1,6,16,True,False
2023-01-01 16:20:00,5,35,54.05,6,16,True,False
2023-01-01 16:34:00,2,32,16.19,6,16,True,False
2023-01-01 16:38:00,1,48,15.83,6,16,True,False
2023-01-01 17:00:00,4,44,10.81,6,17,True,False
2023-01-01 17:01:00,2,40,8.74,6,17,True,False
2023-01-01 17:14:00,3,24,12.82,6,17,True,False
2023-01-01 17:25:00,1,17,50.81,6,17,True,False
2023-01-01 17:34:00,3,7,17.74,6,17,True,False
2023-01-01 17:41:00,1,43,72.4,6,17,True,False
2023-01-01 17:43:00,4,50,44.85,6,17,True,False
2023-01-01 18:02:00,4,1,6.03,6,18,True,False
2023-01-01 18:54:00,5,35,83.13,6,18,True,False
2023-01-01 19:38:00,3,32,97.46,6,19,True,False
2023-01-01 19:43:00,1,36,16.03,6,19,True,False
2023-01-01 20:24:00,4,13,66.56,6,20,True,False
2023-01-01 20:57:00,2,6,18.57,6,20,True,False
2023-01-01 21:03:00,4,14,48.91,6,21,True,False
2023-01-02 03:36:00,2,37,7.32,0,3,False,False
2023-01-02 04:05:00,1,48,4.42,0,4,False,False
2023-01-02 05:51:00,4,15,18.4,0,5,False,False
2023-01-02 07:36:00,4,47,23.84,0,7,False,False
2023-01-02 08:31:00,1,4,17.86,0,8,False,False
2023-01-02 09:32:00,4,40,7.94,0,9,False,False
2023-01-02 10:01:00,2,16,16.83,0,10,False,False
2023-01-02 10:24:00,4,28,32.87,0,10,False,False
2023-01-02 10:31:00,3,16,24.0,0,10,False,False
2023-01-02 10:55:00,5,4,30.13,0,10,False,False
2023-01-02 10:58:00,2,45,12.85,0,10,False,False
2023-01-02 11:29:00,3,26,77.91,0,11,False,False
2023-01-02 11:35:00,1,28,7.45,0,11,False,False
2023-01-02 11:41:00,2,32,39.3,0,11,False,False
2023-01-02 11:51:00,5,45,78.7,0,11,False,False
2023-01-02 12:01:00,5,2,37.36,0,12,False,False
2023-01-02 12:05:00,1,31,18.86,0,12,False,False
2023-01-02 12:14:00,1,3,13.62,0,12,False,False
2023-01-02 12:19:00,2,8,65.1,0,12,False,False
2023-01-02 12:26:00,4,24,5.57,0,12,False,False
2023-01-02 12:38:00,1,15,8.76,0,12,False,False
2023-01-02 13:11:00,4,43,14.82,0,13,False,False
2023-01-02 13:44:00,3,31,76.05,0,13,False,False
